City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Lorengau,PG,2021-09-12 02:08:03,-2.0226,147.2712,85.35,68,51,10.54,broken clouds
60,Tiruchchendur,IN,2021-09-12 02:08:04,8.4833,78.1167,80.89,71,100,15.95,overcast clouds
61,Puerto Ayora,EC,2021-09-12 02:08:04,-0.7393,-90.3518,68.56,94,92,4.0,overcast clouds
62,Labuhan,ID,2021-09-12 02:08:05,-6.8844,112.2051,80.19,78,100,7.83,overcast clouds
63,Alofi,NU,2021-09-12 02:05:50,-19.0595,-169.9187,77.63,81,100,15.55,light rain
64,Hilo,US,2021-09-12 02:08:06,19.7297,-155.09,82.13,74,75,9.22,broken clouds
65,Goure,NE,2021-09-12 02:08:06,13.9835,10.2704,83.57,55,82,9.1,broken clouds
66,Husavik,IS,2021-09-12 02:08:07,66.0449,-17.3389,40.98,76,100,11.23,overcast clouds
67,Matay,EG,2021-09-12 02:08:07,28.419,30.7792,72.46,66,0,8.81,clear sky
68,Nawa,IN,2021-09-12 02:08:08,27.0167,75.0,77.65,89,100,9.53,moderate rain
69,Hualmay,PE,2021-09-12 02:08:08,-11.0964,-77.6139,62.33,85,92,10.71,overcast clouds
70,Aykhal,RU,2021-09-12 02:08:09,66.0,111.5,51.71,53,68,4.16,broken clouds
71,Centralia,US,2021-09-12 02:08:09,46.7162,-122.9543,72.79,68,20,5.75,few clouds
72,Port Elizabeth,ZA,2021-09-12 02:08:09,-33.918,25.5701,60.1,92,24,6.55,few clouds
73,Lasa,IT,2021-09-12 02:07:01,46.6166,10.7002,59.02,88,28,1.36,scattered clouds
74,Chokurdakh,RU,2021-09-12 02:08:10,70.6333,147.9167,49.6,47,66,15.19,broken clouds
75,Georgetown,MY,2021-09-12 02:07:05,5.4112,100.3354,84.13,75,20,1.01,few clouds
76,Bhainsdehi,IN,2021-09-12 02:08:11,21.6467,77.6325,71.44,93,92,3.47,overcast clouds
77,Bernalillo,US,2021-09-12 02:03:13,35.05,-106.6673,87.53,18,20,4.61,few clouds
78,Bondo,CD,2021-09-12 02:08:11,3.8146,23.6866,66.83,98,72,0.72,broken clouds
79,Hermanus,ZA,2021-09-12 02:08:12,-34.4187,19.2345,55.9,86,100,6.49,overcast clouds
80,Gambela,ET,2021-09-12 02:08:12,8.25,34.5833,69.04,95,95,3.49,light rain
81,Sao Joao Da Barra,BR,2021-09-12 02:04:24,-21.6403,-41.0511,71.65,92,90,5.14,overcast clouds
