City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kruisfontein,ZA,2021-09-11 02:17:45,-34.0033,24.7314,56.39,78,33,4.68
68,Poum,NC,2021-09-11 02:17:46,-20.2333,164.0167,71.8,62,18,9.33
69,Nieuw Amsterdam,SR,2021-09-11 02:17:47,5.8833,-55.0833,81.01,87,41,8.88
70,Urdoma,RU,2021-09-11 02:17:47,61.7533,48.5442,32.74,97,25,4.54
71,Adeje,ES,2021-09-11 02:17:47,28.1227,-16.726,85.08,49,49,3.13
72,Cidreira,BR,2021-09-11 02:17:48,-30.1811,-50.2056,61.29,69,98,11.21
73,Tasiilaq,GL,2021-09-11 02:17:49,65.6145,-37.6368,33.96,51,4,9.15
74,Longyearbyen,SJ,2021-09-11 02:17:49,78.2186,15.6401,33.64,69,0,0.0
75,Mar Del Plata,AR,2021-09-11 02:15:15,-38.0023,-57.5575,51.82,100,90,2.3
76,Nagua,DO,2021-09-11 02:17:50,19.3832,-69.8474,77.85,87,57,5.5
77,Miranda,CO,2021-09-11 02:17:50,3.2499,-76.2281,66.33,90,76,5.1
78,Angoram,PG,2021-09-11 02:17:51,-4.0625,144.0661,90.82,52,96,3.13
79,Kapaa,US,2021-09-11 02:17:52,22.0752,-159.319,82.72,72,1,3.0
80,Nikolskoye,RU,2021-09-11 02:17:52,59.7035,30.7861,48.09,79,84,4.47
81,Nakskov,DK,2021-09-11 02:17:53,54.8373,11.1284,64.0,91,100,8.66
82,Bangui,CF,2021-09-11 02:17:54,4.3612,18.555,68.81,97,100,1.25
83,Kijang,KR,2021-09-11 02:17:54,35.2442,129.2139,82.13,64,0,4.05
84,Evensk,RU,2021-09-11 02:17:55,61.95,159.2333,46.06,39,95,10.45
85,Port Hedland,AU,2021-09-11 02:17:55,-20.3167,118.5667,89.65,14,0,10.36
86,Maldonado,UY,2021-09-11 02:14:26,-34.6667,-54.9167,54.79,97,94,7.63
87,Hasaki,JP,2021-09-11 02:17:56,35.7333,140.8333,81.0,78,61,8.37
88,La Palma,US,2021-09-11 02:17:56,33.8464,-118.0467,94.8,58,1,4.0
89,Nalut,LY,2021-09-11 02:17:57,30.3333,10.85,82.63,22,0,7.72
90,Pozoblanco,ES,2021-09-11 02:17:57,38.3791,-4.8483,63.18,62,75,1.74
91,Tuatapere,NZ,2021-09-11 02:17:58,-46.1333,167.6833,47.82,70,77,10.0
92,Tura,IN,2021-09-11 02:17:58,25.5198,90.2201,77.0,94,100,1.19
93,Bethel,US,2021-09-11 02:17:59,41.3712,-73.414,65.91,82,1,0.0
94,Vaini,TO,2021-09-11 02:18:00,-21.2,-175.2,78.96,78,75,8.05
95,Lorengau,PG,2021-09-11 02:18:01,-2.0226,147.2712,85.87,66,100,12.39
96,Axim,GH,2021-09-11 02:18:01,4.8699,-2.2405,75.83,90,100,6.67
97,Akdepe,TM,2021-09-11 02:18:02,42.0551,59.3788,50.0,23,0,5.61
98,Carnarvon,AU,2021-09-11 02:18:02,-24.8667,113.6333,69.87,40,0,23.02
99,Yar-Sale,RU,2021-09-11 02:18:02,66.8333,70.8333,38.82,74,95,5.95
100,Khovu-Aksy,RU,2021-09-11 02:18:03,51.1333,93.6,48.09,47,9,0.94
101,Klaksvik,FO,2021-09-11 02:18:04,62.2266,-6.589,49.12,77,95,6.08
102,Saint George,US,2021-09-11 02:18:04,37.1041,-113.5841,95.63,23,1,1.01
103,Zyryanskoye,RU,2021-09-11 02:18:05,56.8306,86.6258,49.59,78,100,15.39
104,Honiara,SB,2021-09-11 02:15:15,-9.4333,159.95,86.07,68,18,10.0
105,Nurota,UZ,2021-09-11 02:18:06,40.5614,65.6886,50.09,22,0,7.02
106,Port Alfred,ZA,2021-09-11 02:18:06,-33.5906,26.891,63.82,71,0,7.47
107,Te Anau,NZ,2021-09-11 02:18:07,-45.4167,167.7167,45.59,87,58,5.64
108,Trebukhiv,UA,2021-09-11 02:18:07,50.4843,30.903,54.91,93,0,2.24
109,Upernavik,GL,2021-09-11 02:18:08,72.7868,-56.1549,27.82,56,39,6.44
110,Gogrial,SS,2021-09-11 02:18:09,8.5332,28.1004,70.5,86,49,1.1
111,Fuling,CN,2021-09-11 02:18:09,29.7022,107.3919,80.8,74,92,0.87
112,Tuktoyaktuk,CA,2021-09-11 02:18:10,69.4541,-133.0374,50.0,76,75,16.11
113,Sorong,ID,2021-09-11 02:18:10,-0.8833,131.25,79.86,81,100,2.98
114,Narsaq,GL,2021-09-11 02:18:11,60.9167,-46.05,43.02,92,100,1.79
115,Pathein,MM,2021-09-11 02:18:11,16.7833,94.7333,76.1,96,100,7.27
116,Zhigansk,RU,2021-09-11 02:18:12,66.7697,123.3711,52.84,45,27,10.45
